,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
787,ASUS,VivoBook,AMD,Ryzen 5,0,4,DDR4,256,1024,Windows,64-bit,0,Casual,Missing,1,No,Yes,62990,74990,16,4.2,165,34
788,HP,Ryzen,AMD,Ryzen 5,0,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,Missing,1,No,No,52990,57331,7,4.4,698,74
789,ASUS,Ryzen,AMD,Ryzen 5,0,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,75100,75500,0,0.0,0,0
790,ASUS,ASUS,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,32-bit,4,Gaming,17.3,0,No,No,76990,106990,28,4.8,22,3
791,ASUS,Ryzen,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,4,Casual,14,1,No,No,79990,131990,39,0.0,0,0
792,ASUS,ROG,AMD,Ryzen 7,0,8,DDR4,512,0,Windows,64-bit,4,Casual,15.6,0,No,No,71990,90990,20,4.5,144,16
793,ASUS,ROG,AMD,Ryzen 7,0,8,DDR4,512,0,Windows,64-bit,4,Casual,15.6,0,No,No,71990,90990,20,4.5,1810,235
794,Lenovo,Lenovo,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,4,Casual,15.6,1,No,Yes,99990,138490,27,4.6,26,1
795,ASUS,Ryzen,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,0,Casual,14,1,No,No,79990,129990,38,0.0,0,0
796,DELL,Ryzen,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,4,Casual,15.6,1,No,No,93990,123540,23,0.0,0,0
797,ASUS,ASUS,AMD,Ryzen 7,0,16,DDR4,512,0,Windows,64-bit,4,Gaming,17.3,0,No,No,82990,107990,23,4.6,1067,145
798,ASUS,ROG,AMD,Ryzen 7,0,4,DDR5,512,0,Windows,64-bit,4,Casual,16,0,No,No,106990,132990,19,0.0,0,0
799,ASUS,VivoBook,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,16,1,No,No,92990,129990,28,4.7,25,4
800,Lenovo,IdeaPad,Intel,Ryzen 7,0,4,DDR4,512,0,Windows,32-bit,4,Casual,16,3,No,Yes,81490,137000,40,0.0,0,0
801,ASUS,VivoBook,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,16,1,No,Yes,56990,74990,24,0.0,0,0
802,MSI,Modern,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,Missing,0,No,No,64990,78990,17,0.0,0,0
803,Lenovo,Ideapad,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,60990,0,0,4.4,530,69
804,Lenovo,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,4,Casual,16,1,No,Yes,84988,111890,24,0.0,0,0
805,HP,Pavilion,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,4,Casual,16,1,No,No,90990,103215,11,4.6,273,40
806,Vaio,E,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,Missing,2,No,Yes,56990,76090,25,3.8,139,26
